Name	Meta	main_role	sub_role	Function	locus_tag
minC	Cellular processes	Cellular processes 2	Cell division	cell division inhibitor MinC	PA3243
minD	Cellular processes	Cellular processes 2	Cell division	cell division inhibitor MinD	PA3244
minE	Cellular processes	Cellular processes 2	Cell division	cell division topological specificity factor MinE	PA3245
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA3634
rodA	Cellular processes	Cellular processes 2	Cell division	rod shape-determining protein	PA4002
ftsZ	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsZ	PA4407
ftsA	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsA	PA4408
ftsQ	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsQ	PA4409
ftsW	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsW	PA4413
ftsL	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsL	PA4419
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA4421
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA4438
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA4478
ftsH	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsH	PA4751
ftsJ	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsJ	PA4752
	Cellular processes	Cellular processes 2	Cell division	hypothetical protein	PA5226
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA5227
	Cellular processes	Cellular processes 2	Cell division	hypothetical protein	PA5406
	Cellular processes	Cellular processes 2	Cell division	hypothetical protein	PA5407
plcB	Cellular processes	Cellular processes 2	Chemotaxis and motility	phospholipase C PlcB	PA0026
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable methylesterase	PA0173
	Cellular processes	Cellular processes 2	Chemotaxis and motility	conserved hypothetical protein	PA0174
cheR2	Cellular processes	Cellular processes 2	Chemotaxis and motility	CheR2	PA0175
	Cellular processes	Cellular processes 2	Chemotaxis and motility	aerotaxis transducer Aer2	PA0176
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable purine-binding chemotaxis protein	PA0177
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable two-component sensor	PA0178
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable two-component response regulator	PA0179
cttP	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotactic transducer for trichloroethylene [positive chemotaxis] CttP	PA0180
pilT	Cellular processes	Cellular processes 2	Chemotaxis and motility	twitching motility protein PilT	PA0395
pilU	Cellular processes	Cellular processes 2	Chemotaxis and motility	twitching motility protein PilU	PA0396
pilG	Cellular processes	Cellular processes 2	Chemotaxis and motility	twitching motility protein PilG	PA0408
pilH	Cellular processes	Cellular processes 2	Chemotaxis and motility	twitching motility protein PilH	PA0409
pilI	Cellular processes	Cellular processes 2	Chemotaxis and motility	twitching motility protein PilI	PA0410
pilJ	Cellular processes	Cellular processes 2	Chemotaxis and motility	twitching motility protein PilJ	PA0411
flgB	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar basal-body rod protein FlgB	PA1077
flgC	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar basal-body rod protein FlgC	PA1078
flgD	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar basal-body rod modification protein FlgD	PA1079
flgE	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar hook protein FlgE	PA1080
flgF	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar basal-body rod protein FlgF	PA1081
flgG	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar basal-body rod protein FlgG	PA1082
flgH	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar L-ring protein precursor FlgH	PA1083
flgI	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar P-ring protein precursor FlgI	PA1084
flgJ	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar protein FlgJ	PA1085
flgK	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar hook-associated protein 1 FlgK	PA1086
fliE	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar hook-basal body complex protein FliE	PA1100
fliF	Cellular processes	Cellular processes 2	Chemotaxis and motility	Flagella M-ring outer membrane protein precursor	PA1101
fliG	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar motor switch protein FliG	PA1102
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable flagellar assembly protein	PA1103
fliI	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellum-specific ATP synthase FliI	PA1104
fliJ	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar protein FliJ	PA1105
sprP	Cellular processes	Cellular processes 2	Chemotaxis and motility	SprP	PA1242
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA1251
	Cellular processes	Cellular processes 2	Chemotaxis and motility	putative flagellar hook-length control protein FliK	PA1441
	Cellular processes	Cellular processes 2	Chemotaxis and motility	conserved hypothetical protein	PA1442
fliM	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar motor switch protein FliM	PA1443
fliN	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar motor switch protein FliN	PA1444
fliO	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar protein FliO	PA1445
fliP	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar biosynthetic protein FliP	PA1446
fliQ	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar biosynthetic protein FliQ	PA1447
fliR	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar biosynthetic protein FliR	PA1448
flhB	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar biosynthetic protein FlhB	PA1449
flhA	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar biosynthesis protein FlhA	PA1452
flhF	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar biosynthesis protein FlhF	PA1453
fleN	Cellular processes	Cellular processes 2	Chemotaxis and motility	flagellar synthesis regulator FleN	PA1454
cheZ	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotaxis protein CheZ	PA1457
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable two-component sensor	PA1458
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable methyltransferase	PA1459
motC	Cellular processes	Cellular processes 2	Chemotaxis and motility	MotC	PA1460
motD	Cellular processes	Cellular processes 2	Chemotaxis and motility	MotD	PA1461
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable purine-binding chemotaxis protein	PA1464
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA1473
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA1608
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA1646
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable transcriptional regulator	PA1853
ctpH	Cellular processes	Cellular processes 2	Chemotaxis and motility	CtpH	PA2561
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA2573
	Cellular processes	Cellular processes 2	Chemotaxis and motility	methyl-accepting chemotaxis protein	PA2652
tlpQ	Cellular processes	Cellular processes 2	Chemotaxis and motility	TlpQ	PA2654
bswR	Cellular processes	Cellular processes 2	Chemotaxis and motility	bacterial swarming regulator BswR	PA2780
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA2788
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA2867
sbrR	Cellular processes	Cellular processes 2	Chemotaxis and motility	SbrR	PA2895
sbrI	Cellular processes	Cellular processes 2	Chemotaxis and motility	SbrI	PA2896
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA2920
cheR1	Cellular processes	Cellular processes 2	Chemotaxis and motility	CheR1	PA3348
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis protein	PA3349
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA3350
flgM	Cellular processes	Cellular processes 2	Chemotaxis and motility	FlgM	PA3351
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA3352
flgZ	Cellular processes	Cellular processes 2	Chemotaxis and motility	FlgZ	PA3353
motY	Cellular processes	Cellular processes 2	Chemotaxis and motility	MotY	PA3526
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA3670
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable permease of ABC transporter	PA3671
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable ATP-binding component of ABC transporter	PA3672
wspF	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable methylesterase	PA3703
wspE	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis sensor/effector fusion protein	PA3704
wspD	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA3705
wspC	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable protein methyltransferase	PA3706
wspB	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA3707
wspA	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA3708
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable ATP-binding component of ABC transporter	PA4037
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA4038
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA4039
bphP	Cellular processes	Cellular processes 2	Chemotaxis and motility	bacterial phytochrome BphP	PA4117
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA4290
pctC	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotactic transducer PctC	PA4307
pctA	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotactic transducer PctA	PA4309
pctB	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotactic transducer PctB	PA4310
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA4520
mapZ	Cellular processes	Cellular processes 2	Chemotaxis and motility	MapZ	PA4608
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA4633
ctpL	Cellular processes	Cellular processes 2	Chemotaxis and motility	CtpL	PA4844
	Cellular processes	Cellular processes 2	Chemotaxis and motility	probable chemotaxis transducer	PA4915
motB	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotaxis protein MotB	PA4953
motA	Cellular processes	Cellular processes 2	Chemotaxis and motility	chemotaxis protein MotA	PA4954
mcpK	Cellular processes	Cellular processes 2	Chemotaxis and motility	McpK	PA5072
	Cellular processes	Cellular processes 2	Chemotaxis and motility	multidrug resistance protein	PA5159
	Cellular processes	Cellular processes 2	Chemotaxis and motility	hypothetical protein	PA5233
dsbM	Cellular processes	Cellular processes 2	Detoxification	DsbM	PA0058
osmC	Cellular processes	Cellular processes 2	Detoxification	osmotically inducible protein OsmC	PA0059
ahpC	Cellular processes	Cellular processes 2	Detoxification	alkyl hydroperoxide reductase subunit C	PA0139
ahpF	Cellular processes	Cellular processes 2	Detoxification	alkyl hydroperoxide reductase subunit F	PA0140
triA	Cellular processes	Cellular processes 2	Detoxification	Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein TriA	PA0156
triB	Cellular processes	Cellular processes 2	Detoxification	Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein TriB	PA0157
triC	Cellular processes	Cellular processes 2	Detoxification	Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter TriC	PA0158
hacB	Cellular processes	Cellular processes 2	Detoxification	acylhomoserine lactone acylase B	PA0305
carO	Cellular processes	Cellular processes 2	Detoxification	calcium-regulated OB-fold protein CarO	PA0320
oprM	Cellular processes	Cellular processes 2	Detoxification	Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor	PA0427
cat	Cellular processes	Cellular processes 2	Detoxification	chloramphenicol acetyltransferase	PA0706
icp	Cellular processes	Cellular processes 2	Detoxification	inhibitor of cysteine peptidase	PA0778
	Cellular processes	Cellular processes 2	Detoxification	probable glutathione peroxidase	PA0838
ahpB	Cellular processes	Cellular processes 2	Detoxification	alkyl hydroperoxide reductase  AhpB	PA0848
mliC	Cellular processes	Cellular processes 2	Detoxification	membrane-bound lysozyme inhibitor of c-type lysozyme MliC	PA0867
	Cellular processes	Cellular processes 2	Detoxification	probable arsenate reductase	PA0950
ndvB	Cellular processes	Cellular processes 2	Detoxification	NdvB	PA1163
oprH	Cellular processes	Cellular processes 2	Detoxification	PhoP/Q and low Mg2+ inducible outer membrane protein H1 precursor	PA1178
	Cellular processes	Cellular processes 2	Detoxification	probable hydroxyacylglutathione hydrolase	PA1813
	Cellular processes	Cellular processes 2	Detoxification	probable outer membrane protein precursor	PA1875
cynS	Cellular processes	Cellular processes 2	Detoxification	cyanate lyase	PA2052
pcoB	Cellular processes	Cellular processes 2	Detoxification	copper resistance protein B precursor	PA2064
pcoA	Cellular processes	Cellular processes 2	Detoxification	copper resistance protein A precursor	PA2065
	Cellular processes	Cellular processes 2	Detoxification	probable metallothionein	PA2140
katE	Cellular processes	Cellular processes 2	Detoxification	catalase HPII	PA2147
pbpC	Cellular processes	Cellular processes 2	Detoxification	penicillin-binding protein 3A	PA2272
soxR	Cellular processes	Cellular processes 2	Detoxification	SoxR	PA2273
arsR	Cellular processes	Cellular processes 2	Detoxification	ArsR protein	PA2277
arsB	Cellular processes	Cellular processes 2	Detoxification	ArsB protein	PA2278
arsC	Cellular processes	Cellular processes 2	Detoxification	ArsC protein	PA2279
	Cellular processes	Cellular processes 2	Detoxification	oxidoreductase	PA2280
opmQ	Cellular processes	Cellular processes 2	Detoxification	probable outer membrane protein precursor	PA2391
oprN	Cellular processes	Cellular processes 2	Detoxification	Multidrug efflux outer membrane protein OprN precursor	PA2495
czcA	Cellular processes	Cellular processes 2	Detoxification	Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA	PA2520
czcC	Cellular processes	Cellular processes 2	Detoxification	outer membrane protein precursor CzcC	PA2522
opmB	Cellular processes	Cellular processes 2	Detoxification	OpmB	PA2525
ospR	Cellular processes	Cellular processes 2	Detoxification	OspR	PA2825
	Cellular processes	Cellular processes 2	Detoxification	probable glutathione peroxidase	PA2826
	Cellular processes	Cellular processes 2	Detoxification	probable outer membrane protein precursor	PA2837
ohr	Cellular processes	Cellular processes 2	Detoxification	organic hydroperoxide resistance protein	PA2850
opmE	Cellular processes	Cellular processes 2	Detoxification	OpmE	PA3521
	Cellular processes	Cellular processes 2	Detoxification	alkylhydroperoxide reductase C	PA3529
	Cellular processes	Cellular processes 2	Detoxification	putative esterase	PA3628
adhC	Cellular processes	Cellular processes 2	Detoxification	alcohol dehydrogenase class III	PA3629
	Cellular processes	Cellular processes 2	Detoxification	probable outer membrane protein precursor	PA3894
pbpA	Cellular processes	Cellular processes 2	Detoxification	penicillin-binding protein 2	PA4003
aph	Cellular processes	Cellular processes 2	Detoxification	aminoglycoside 3'-phosphotransferase type IIb	PA4119
ppgL	Cellular processes	Cellular processes 2	Detoxification	periplasmic gluconolactonase PpgL	PA4204
opmD	Cellular processes	Cellular processes 2	Detoxification	probable outer membrane protein precursor	PA4208
katA	Cellular processes	Cellular processes 2	Detoxification	catalase	PA4236
sodB	Cellular processes	Cellular processes 2	Detoxification	superoxide dismutase	PA4366
ftsI	Cellular processes	Cellular processes 2	Detoxification	penicillin-binding protein 3	PA4418
sodM	Cellular processes	Cellular processes 2	Detoxification	superoxide dismutase	PA4468
magD	Cellular processes	Cellular processes 2	Detoxification	MagD	PA4489
oprJ	Cellular processes	Cellular processes 2	Detoxification	Multidrug efflux outer membrane protein OprJ precursor	PA4597
katB	Cellular processes	Cellular processes 2	Detoxification	catalase	PA4613
mrcB	Cellular processes	Cellular processes 2	Detoxification	penicillin-binding protein 1B	PA4700
ponA	Cellular processes	Cellular processes 2	Detoxification	penicillin-binding protein 1A	PA5045
	Cellular processes	Cellular processes 2	Detoxification	probable outer membrane protein precursor	PA5158
	Cellular processes	Cellular processes 2	Detoxification	probable beta-lactamase	PA5514
	Cellular processes	Cellular processes 2	Detoxification	Pseudomonas imipenem beta-lactamase PIB-1	PA5542
	Cellular processes	Cellular processes 2	DNA transformation	conserved hypothetical protein	PA0021
	Cellular processes	Cellular processes 2	DNA transformation	probable phosphoribosyl transferase	PA0489
	Cellular processes	Cellular processes 2	DNA transformation	hypothetical protein	PA2984
	Cellular processes	Cellular processes 2	DNA transformation	hypothetical protein	PA3140
	Cellular processes	Cellular processes 2	Other@Cellular processes 2	RidA subfamily protein	PA3123
xenB	Cellular processes	Cellular processes 2	Other@Cellular processes 2	xenobiotic reductase	PA4356
	Cellular processes	Cellular processes 2	Other@Cellular processes 2	conserved hypothetical protein	PA5339
	Cellular processes	Cellular processes 2	Pathogenesis	conserved hypothetical protein	PA0040
exoT	Cellular processes	Cellular processes 2	Pathogenesis	exoenzyme T	PA0044
tagQ1	Cellular processes	Cellular processes 2	Pathogenesis	TagQ1	PA0070
tagR1	Cellular processes	Cellular processes 2	Pathogenesis	TagR1	PA0071
tagS1	Cellular processes	Cellular processes 2	Pathogenesis	TagS1	PA0072
tagT1	Cellular processes	Cellular processes 2	Pathogenesis	TagT1	PA0073
ppkA	Cellular processes	Cellular processes 2	Pathogenesis	serine/threonine protein kinase PpkA	PA0074
pppA	Cellular processes	Cellular processes 2	Pathogenesis	PppA	PA0075
tssA1	Cellular processes	Cellular processes 2	Pathogenesis	TssA1	PA0082
eagT6	Cellular processes	Cellular processes 2	Pathogenesis	EagT6	PA0094
rahU	Cellular processes	Cellular processes 2	Pathogenesis	rahU	PA0122
pip	Cellular processes	Cellular processes 2	Pathogenesis	Pip	PA0243
carP	Cellular processes	Cellular processes 2	Pathogenesis	calcium-regulated beta-propeller protein CarP	PA0327
aaaA	Cellular processes	Cellular processes 2	Pathogenesis	arginine-specific autotransporter of Pseudomonas aeruginosa AaaA	PA0328
pasP	Cellular processes	Cellular processes 2	Pathogenesis	PasP	PA0423
vreA	Cellular processes	Cellular processes 2	Pathogenesis	VreA	PA0674
hxcU	Cellular processes	Cellular processes 2	Pathogenesis	HxcU	PA0678
hxcT	Cellular processes	Cellular processes 2	Pathogenesis	HxcT	PA0681
hxcR	Cellular processes	Cellular processes 2	Pathogenesis	HxcR	PA0686
dspI	Cellular processes	Cellular processes 2	Pathogenesis	DspI	PA0745
plcH	Cellular processes	Cellular processes 2	Pathogenesis	hemolytic phospholipase C precursor	PA0844
alpR	Cellular processes	Cellular processes 2	Pathogenesis	lysis phenotype repressor AlpR	PA0906
alpA	Cellular processes	Cellular processes 2	Pathogenesis	lysis phenotype activator AlpA	PA0907
alpB	Cellular processes	Cellular processes 2	Pathogenesis	AlpB	PA0908
alpC	Cellular processes	Cellular processes 2	Pathogenesis	AlpC	PA0909
alpE	Cellular processes	Cellular processes 2	Pathogenesis	AlpE	PA0911
tolQ	Cellular processes	Cellular processes 2	Pathogenesis	TolQ protein	PA0969
tolR	Cellular processes	Cellular processes 2	Pathogenesis	TolR protein	PA0970
tolA	Cellular processes	Cellular processes 2	Pathogenesis	TolA protein	PA0971
tolB	Cellular processes	Cellular processes 2	Pathogenesis	TolB protein	PA0972
yfiR	Cellular processes	Cellular processes 2	Pathogenesis	YfiR	PA1121
	Cellular processes	Cellular processes 2	Pathogenesis	probable transcriptional regulator	PA1136
qslA	Cellular processes	Cellular processes 2	Pathogenesis	QslA	PA1244
	Cellular processes	Cellular processes 2	Pathogenesis	hypothetical protein	PA1414
lasR	Cellular processes	Cellular processes 2	Pathogenesis	transcriptional regulator LasR	PA1430
lasI	Cellular processes	Cellular processes 2	Pathogenesis	autoinducer synthesis protein LasI	PA1432
pscU	Cellular processes	Cellular processes 2	Pathogenesis	translocation protein in type III secretion	PA1690
pscT	Cellular processes	Cellular processes 2	Pathogenesis	translocation protein in type III secretion	PA1691
	Cellular processes	Cellular processes 2	Pathogenesis	probable translocation protein in type III secretion	PA1692
pscR	Cellular processes	Cellular processes 2	Pathogenesis	translocation protein in type III secretion	PA1693
pscQ	Cellular processes	Cellular processes 2	Pathogenesis	translocation protein in type III secretion	PA1694
pscO	Cellular processes	Cellular processes 2	Pathogenesis	translocation protein in type III secretion	PA1696
	Cellular processes	Cellular processes 2	Pathogenesis	ATP synthase in type III secretion system	PA1697
popN	Cellular processes	Cellular processes 2	Pathogenesis	Type III secretion outer membrane protein PopN precursor	PA1698
pcr1	Cellular processes	Cellular processes 2	Pathogenesis	Pcr1	PA1699
pcr2	Cellular processes	Cellular processes 2	Pathogenesis	Pcr2	PA1700
pcr3	Cellular processes	Cellular processes 2	Pathogenesis	Pcr3	PA1701
pcrD	Cellular processes	Cellular processes 2	Pathogenesis	type III secretory apparatus protein PcrD	PA1703
exsC	Cellular processes	Cellular processes 2	Pathogenesis	ExsC exoenzyme S synthesis protein C precursor.	PA1710
exsE	Cellular processes	Cellular processes 2	Pathogenesis	ExsE	PA1711
exsB	Cellular processes	Cellular processes 2	Pathogenesis	exoenzyme S synthesis protein B	PA1712
exsD	Cellular processes	Cellular processes 2	Pathogenesis	ExsD	PA1714
pscB	Cellular processes	Cellular processes 2	Pathogenesis	type III export apparatus protein	PA1715
pscC	Cellular processes	Cellular processes 2	Pathogenesis	Type III secretion outer membrane protein PscC precursor	PA1716
pscD	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscD	PA1717
pscE	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscE	PA1718
pscF	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscF	PA1719
pscG	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscG	PA1720
pscH	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscH	PA1721
pscI	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscI	PA1722
pscJ	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscJ	PA1723
pscK	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscK	PA1724
pscL	Cellular processes	Cellular processes 2	Pathogenesis	type III export protein PscL	PA1725
bglX	Cellular processes	Cellular processes 2	Pathogenesis	BglX	PA1726
	Cellular processes	Cellular processes 2	Pathogenesis	probable transcriptional regulator	PA1759
	Cellular processes	Cellular processes 2	Pathogenesis	probable transcriptional regulator	PA1760
cmpX	Cellular processes	Cellular processes 2	Pathogenesis	conserved cytoplasmic membrane protein CmpX protein	PA1775
kerV	Cellular processes	Cellular processes 2	Pathogenesis	KerV	PA1814
lasA	Cellular processes	Cellular processes 2	Pathogenesis	LasA protease precursor	PA1871
	Cellular processes	Cellular processes 2	Pathogenesis	probable ATP-binding/permease fusion ABC transporter	PA1876
qscR	Cellular processes	Cellular processes 2	Pathogenesis	quorum-sensing control repressor	PA1898
phzA2	Cellular processes	Cellular processes 2	Pathogenesis	probable phenazine biosynthesis protein	PA1899
phzB2	Cellular processes	Cellular processes 2	Pathogenesis	probable phenazine biosynthesis protein	PA1900
phzC2	Cellular processes	Cellular processes 2	Pathogenesis	phenazine biosynthesis protein PhzC	PA1901
